Cement | Cretaceous | unknown | Cretaceous foreland flexure been also accommodated Cement
Crystalline | Valanginian | unknown | Valanginian foreland flexure been also accommodated Crystalline
Crystalline | Hauterivian | unknown | Hauterivian foreland flexure been also accommodated Crystalline
Crystalline | Barremian | unknown | Barremian foreland flexure been also accommodated Crystalline
Crystalline | Aptian | unknown | Aptian foreland flexure been also accommodated Crystalline
Crystalline | Albian | unknown | Albian foreland flexure been also accommodated Crystalline
Crystalline | Cenomanian | unknown | Cenomanian foreland flexure been also accommodated Crystalline
Crystalline | Turonian | unknown | Turonian foreland flexure been also accommodated Crystalline
Crystalline | Coniacian | unknown | Coniacian foreland flexure been also accommodated Crystalline
Crystalline | Santonian | unknown | Santonian foreland flexure been also accommodated Crystalline
Crystalline | Campanian | unknown | Campanian foreland flexure been also accommodated Crystalline
Crystalline | Maastrichtian | unknown | Maastrichtian foreland flexure been also accommodated Crystalline
Aphanocrystalline | Cretaceous | unknown | Cretaceous foreland flexure been also accommodated Aphanocrystalline
Aphanocrystalline | Berriasian | unknown | Berriasian foreland flexure been also accommodated Aphanocrystalline
Aphanocrystalline | Valanginian | unknown | Valanginian foreland flexure been also accommodated Aphanocrystalline
Aphanocrystalline | Hauterivian | unknown | Hauterivian foreland flexure been also accommodated Aphanocrystalline
Aphanocrystalline | Barremian | unknown | Barremian foreland flexure been also accommodated Aphanocrystalline
Aphanocrystalline | Aptian | unknown | Aptian foreland flexure been also accommodated Aphanocrystalline
Aphanocrystalline | Albian | unknown | Albian foreland flexure been also accommodated Aphanocrystalline
Aphanocrystalline | Cenomanian | unknown | Cenomanian foreland flexure been also accommodated Aphanocrystalline
Aphanocrystalline | Turonian | unknown | Turonian foreland flexure been also accommodated Aphanocrystalline
Aphanocrystalline | Coniacian | unknown | Coniacian foreland flexure been also accommodated Aphanocrystalline
Aphanocrystalline | Santonian | unknown | Santonian foreland flexure been also accommodated Aphanocrystalline
Aphanocrystalline | Campanian | unknown | Campanian foreland flexure been also accommodated Aphanocrystalline
Aphanocrystalline | Maastrichtian | unknown | Maastrichtian foreland flexure been also accommodated Aphanocrystalline
Crystallization | Cretaceous | unknown | Cretaceous foreland flexure been also accommodated Crystallization
Crystallization | Berriasian | unknown | Berriasian foreland flexure been also accommodated Crystallization
Crystallization | Valanginian | unknown | Valanginian foreland flexure been also accommodated Crystallization
Crystallization | Hauterivian | unknown | Hauterivian foreland flexure been also accommodated Crystallization
Crystallization | Barremian | unknown | Barremian foreland flexure been also accommodated Crystallization
Crystallization | Aptian | unknown | Aptian foreland flexure been also accommodated Crystallization
Crystallization | Albian | unknown | Albian foreland flexure been also accommodated Crystallization
Crystallization | Cenomanian | unknown | Cenomanian foreland flexure been also accommodated Crystallization
Crystallization | Turonian | unknown | Turonian foreland flexure been also accommodated Crystallization
Crystallization | Coniacian | unknown | Coniacian foreland flexure been also accommodated Crystallization
Crystallization | Santonian | unknown | Santonian foreland flexure been also accommodated Crystallization
Crystallization | Campanian | unknown | Campanian foreland flexure been also accommodated Crystallization
Crystallization | Maastrichtian | unknown | Maastrichtian foreland flexure been also accommodated Crystallization
Equigranular | Cretaceous | unknown | Cretaceous foreland flexure been also accommodated Equigranular
Equigranular | Berriasian | unknown | Berriasian foreland flexure been also accommodated Equigranular
Equigranular | Valanginian | unknown | Valanginian foreland flexure been also accommodated Equigranular
Equigranular | Hauterivian | unknown | Hauterivian foreland flexure been also accommodated Equigranular
Equigranular | Barremian | unknown | Barremian foreland flexure been also accommodated Equigranular
Equigranular | Aptian | unknown | Aptian foreland flexure been also accommodated Equigranular
Equigranular | Albian | unknown | Albian foreland flexure been also accommodated Equigranular
Equigranular | Cenomanian | unknown | Cenomanian foreland flexure been also accommodated Equigranular
Equigranular | Turonian | unknown | Turonian foreland flexure been also accommodated Equigranular
Equigranular | Coniacian | unknown | Coniacian foreland flexure been also accommodated Equigranular
Equigranular | Santonian | unknown | Santonian foreland flexure been also accommodated Equigranular
Equigranular | Campanian | unknown | Campanian foreland flexure been also accommodated Equigranular
Equigranular | Maastrichtian | unknown | Maastrichtian foreland flexure been also accommodated Equigranular
Inequigranular | Cretaceous | unknown | Cretaceous foreland flexure been also accommodated Inequigranular
Inequigranular | Berriasian | unknown | Berriasian foreland flexure been also accommodated Inequigranular
Inequigranular | Valanginian | unknown | Valanginian foreland flexure been also accommodated Inequigranular
Inequigranular | Hauterivian | unknown | Hauterivian foreland flexure been also accommodated Inequigranular
Inequigranular | Barremian | unknown | Barremian foreland flexure been also accommodated Inequigranular
Inequigranular | Aptian | unknown | Aptian foreland flexure been also accommodated Inequigranular
Inequigranular | Albian | unknown | Albian foreland flexure been also accommodated Inequigranular
Inequigranular | Cenomanian | unknown | Cenomanian foreland flexure been also accommodated Inequigranular
Inequigranular | Turonian | unknown | Turonian foreland flexure been also accommodated Inequigranular
Inequigranular | Coniacian | unknown | Coniacian foreland flexure been also accommodated Inequigranular
Inequigranular | Santonian | unknown | Santonian foreland flexure been also accommodated Inequigranular
Inequigranular | Campanian | unknown | Campanian foreland flexure been also accommodated Inequigranular
Inequigranular | Maastrichtian | unknown | Maastrichtian foreland flexure been also accommodated Inequigranular
Porphyrotopic | Cretaceous | unknown | Cretaceous foreland flexure been also accommodated Porphyrotopic
Porphyrotopic | Berriasian | unknown | Berriasian foreland flexure been also accommodated Porphyrotopic
Porphyrotopic | Valanginian | unknown | Valanginian foreland flexure been also accommodated Porphyrotopic
Porphyrotopic | Hauterivian | unknown | Hauterivian foreland flexure been also accommodated Porphyrotopic
Porphyrotopic | Barremian | unknown | Barremian foreland flexure been also accommodated Porphyrotopic
Porphyrotopic | Aptian | unknown | Aptian foreland flexure been also accommodated Porphyrotopic
Porphyrotopic | Albian | unknown | Albian foreland flexure been also accommodated Porphyrotopic
Porphyrotopic | Cenomanian | unknown | Cenomanian foreland flexure been also accommodated Porphyrotopic
Porphyrotopic | Turonian | unknown | Turonian foreland flexure been also accommodated Porphyrotopic
Porphyrotopic | Coniacian | unknown | Coniacian foreland flexure been also accommodated Porphyrotopic
Porphyrotopic | Santonian | unknown | Santonian foreland flexure been also accommodated Porphyrotopic
Porphyrotopic | Campanian | unknown | Campanian foreland flexure been also accommodated Porphyrotopic
Porphyrotopic | Maastrichtian | unknown | Maastrichtian foreland flexure been also accommodated Porphyrotopic
Poikilotopic | Cretaceous | unknown | Cretaceous foreland flexure been also accommodated Poikilotopic
Poikilotopic | Berriasian | unknown | Berriasian foreland flexure been also accommodated Poikilotopic
Poikilotopic | Valanginian | unknown | Valanginian foreland flexure been also accommodated Poikilotopic
Poikilotopic | Hauterivian | unknown | Hauterivian foreland flexure been also accommodated Poikilotopic
Poikilotopic | Barremian | unknown | Barremian foreland flexure been also accommodated Poikilotopic
Poikilotopic | Aptian | unknown | Aptian foreland flexure been also accommodated Poikilotopic
Poikilotopic | Albian | unknown | Albian foreland flexure been also accommodated Poikilotopic
Poikilotopic | Cenomanian | unknown | Cenomanian foreland flexure been also accommodated Poikilotopic
Poikilotopic | Turonian | unknown | Turonian foreland flexure been also accommodated Poikilotopic
Poikilotopic | Coniacian | unknown | Coniacian foreland flexure been also accommodated Poikilotopic
Poikilotopic | Santonian | unknown | Santonian foreland flexure been also accommodated Poikilotopic
Poikilotopic | Campanian | unknown | Campanian foreland flexure been also accommodated Poikilotopic
Poikilotopic | Maastrichtian | unknown | Maastrichtian foreland flexure been also accommodated Poikilotopic
